,Date,Power,Timepoint,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
344,20209,0.087,9,0,4.0,21,7,12.8,99.0,18.0
345,20210,0.087,10,0,4.5,21,7,12.55,99.5,18.0
346,20211,0.117,11,0,5.0,21,7,12.3,100.0,25.2
347,20212,0.096,12,0,5.5,21,7,12.3,100.0,25.2
348,20213,0.086,13,0,6.0,21,7,12.3,100.0,25.2
349,20214,0.092,14,0,6.5,21,7,12.45,100.0,25.2
350,20215,0.119,15,0,7.0,21,7,12.6,100.0,21.6
351,20216,0.083,16,0,7.5,21,7,13.15,100.0,21.6
352,20217,0.848,17,0,8.0,21,7,13.7,100.0,32.4
353,20218,0.122,18,0,8.5,21,7,13.8,100.0,32.4
354,20219,0.081,19,0,9.0,21,7,13.9,100.0,39.6
355,20220,0.082,20,0,9.5,21,7,14.0,100.0,39.6
356,20221,0.123,21,0,10.0,21,7,14.1,100.0,28.8
357,20222,0.082,22,0,10.5,21,7,15.25,99.5,28.8
358,20223,0.081,23,0,11.0,21,7,16.4,99.0,32.4
359,20224,0.087,24,0,11.5,21,7,17.25,96.0,32.4
360,20225,0.117,25,0,12.0,21,7,18.1,93.0,25.2
361,20226,0.082,26,0,12.5,21,7,18.9,78.5,25.2
362,20227,0.082,27,0,13.0,21,7,19.7,64.0,25.2
363,20228,0.123,28,0,13.5,21,7,20.05,63.5,25.2
364,20229,0.08,29,0,14.0,21,7,20.4,63.0,36.0
365,20230,0.079,30,0,14.5,21,7,19.9,62.0,36.0
366,20231,0.121,31,0,15.0,21,7,19.4,61.0,28.8
367,20232,0.081,32,0,15.5,21,7,17.4,68.5,28.8
368,20233,0.081,33,0,16.0,21,7,15.4,76.0,28.8
369,20234,0.094,34,0,16.5,21,7,16.95,66.5,28.8
370,20235,0.107,35,0,17.0,21,7,18.5,57.0,25.2
371,20236,0.081,36,0,17.5,21,7,17.9,59.0,25.2
372,20237,0.082,37,0,18.0,21,7,17.3,61.0,32.4
373,20238,0.124,38,0,18.5,21,7,17.1,62.5,32.4
374,20239,0.082,39,0,19.0,21,7,16.9,64.0,28.8
375,20240,0.082,40,0,19.5,21,7,16.1,69.5,28.8
376,20241,0.124,41,0,20.0,21,7,15.3,75.0,21.6
377,20242,0.083,42,0,20.5,21,7,15.35,74.5,21.6
378,20243,0.082,43,0,21.0,21,7,15.4,74.0,14.4
379,20244,0.122,44,0,21.5,21,7,14.85,81.0,14.4
380,20245,0.082,45,0,22.0,21,7,14.3,88.0,18.0
381,20246,0.103,46,0,22.5,21,7,13.55,93.0,18.0
382,20247,0.596,47,0,23.0,21,7,12.8,98.0,10.8
383,20248,0.317,48,0,23.5,21,7,13.1,95.0,10.8
384,20301,0.086,1,0,0.0,22,7,13.4,92.0,10.8
385,20302,0.089,2,0,0.5,22,7,13.55,91.5,10.8
386,20303,0.127,3,0,1.0,22,7,13.7,91.0,10.8
387,20304,0.087,4,0,1.5,22,7,13.5,94.5,10.8
388,20305,0.086,5,0,2.0,22,7,13.3,98.0,14.4
389,20306,0.127,6,0,2.5,22,7,13.25,99.0,14.4
390,20307,0.086,7,0,3.0,22,7,13.2,100.0,14.4
391,20308,0.086,8,0,3.5,22,7,13.3,100.0,14.4
392,20309,0.118,9,0,4.0,22,7,13.4,100.0,7.2
393,20310,0.096,10,0,4.5,22,7,13.4,98.5,7.2
394,20311,0.086,11,0,5.0,22,7,13.4,97.0,14.4
395,20312,0.087,12,0,5.5,22,7,13.65,95.5,14.4
396,20313,0.127,13,0,6.0,22,7,13.9,94.0,28.8
397,20314,0.086,14,0,6.5,22,7,13.9,92.5,28.8
398,20315,0.085,15,0,7.0,22,7,13.9,91.0,21.6
399,20316,0.117,16,0,7.5,22,7,14.25,89.5,21.6
400,20317,0.088,17,0,8.0,22,7,14.6,88.0,21.6
401,20318,0.084,18,0,8.5,22,7,15.0,85.5,21.6
402,20319,0.914,19,0,9.0,22,7,15.4,83.0,21.6
403,20320,0.123,20,0,9.5,22,7,15.75,84.5,21.6
404,20321,0.082,21,0,10.0,22,7,16.1,86.0,18.0
405,20322,0.082,22,0,10.5,22,7,16.0,85.5,18.0
406,20323,0.101,23,0,11.0,22,7,15.9,85.0,21.6
407,20324,0.101,24,0,11.5,22,7,16.45,80.5,21.6
408,20325,0.079,25,0,12.0,22,7,17.0,76.0,25.2
409,20326,0.08,26,0,12.5,22,7,18.1,70.5,25.2
410,20327,0.124,27,0,13.0,22,7,19.2,65.0,25.2
411,20328,0.082,28,0,13.5,22,7,19.0,67.5,25.2
412,20329,0.083,29,0,14.0,22,7,18.8,70.0,21.6
413,20330,0.105,30,0,14.5,22,7,17.25,80.0,21.6
414,20331,0.103,31,0,15.0,22,7,15.7,90.0,18.0
415,20332,0.083,32,0,15.5,22,7,16.35,88.0,18.0
416,20333,0.083,33,0,16.0,22,7,17.0,86.0,14.4
